DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
REPORT,org.archive.crawler.reporting.ToeThreadsReport,2,2,2,1,0,2,2,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\ToeThreadsReport.java,class,false,41
BASERULE,org.archive.modules.canonicalize.StripUserinfoRule,2,2,1,1,0,2,3,2,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\canonicalize\StripUserinfoRule.java,class,false,51
UNDEFINED,org.archive.crawler.framework.Engine,19,1,2,112,0,19,65,71,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\Engine.java,class,false,386
PROCESSOR,org.archive.modules.extractor.ExtractorURI,5,3,5,10,0,5,19,22,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\ExtractorURI.java,class,false,165
UNDEFINED,org.archive.crawler.reporting.CrawlStatSnapshot,5,1,3,0,0,5,24,11,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\CrawlStatSnapshot.java,class,false,173
APPLICATIONEVENT,org.archive.crawler.framework.CheckpointSuccessEvent,2,2,3,0,0,2,0,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\framework\CheckpointSuccessEvent.java,class,false,44
FORMATTER,org.archive.crawler.io.UriErrorFormatter,1,2,2,0,0,1,4,2,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\io\UriErrorFormatter.java,class,false,54
TEST,org.archive.surt.SURTTokenizerTest,11,2,2,0,0,11,7,12,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\surt\SURTTokenizerTest.java,class,false,185
PROCESSOR,org.archive.modules.recrawl.hbase.HBasePersistProcessor,4,3,6,0,1,4,1,4,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\HBasePersistProcessor.java,class,false,32
ROBOTSPOLICY,org.archive.modules.net.CustomRobotsPolicy,6,2,4,0,0,6,3,6,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\net\CustomRobotsPolicy.java,class,false,69
UNDEFINED,org.archive.util.ms.Cp1252,3,1,2,3,0,3,2,5,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\ms\Cp1252.java,class,false,83
TEST,org.archive.modules.deciderules.MatchesStatusCodeDecideRuleTest,5,3,4,10,0,5,9,5,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\deciderules\MatchesStatusCodeDecideRuleTest.java,class,false,48
RESOURCE,org.archive.crawler.restlet.ScriptResource,9,4,15,35,0,9,50,24,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\ScriptResource.java,class,false,207
TEST,org.archive.io.arc.ARCWriterTest,42,2,17,827,0,42,76,75,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\io\arc\ARCWriterTest.java,class,false,699
ABSTRACTFRONTIER,org.archive.crawler.frontier.BdbFrontier,27,3,22,308,0,27,70,60,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\BdbFrontier.java,class,false,471
TEST,org.archive.modules.recrawl.PersistLogProcessorTest,1,3,1,0,0,1,0,1,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\recrawl\PersistLogProcessorTest.java,class,false,13
URIPRECEDENCEPOLICY,org.archive.crawler.frontier.precedence.PreloadedUriPrecedencePolicy,9,3,12,16,0,9,16,21,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\precedence\PreloadedUriPrecedencePolicy.java,class,false,151
LINKEDHASHMAP,org.archive.crawler.restlet.models.EngineModel,2,2,2,3,0,2,29,8,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\models\EngineModel.java,class,false,74
TEST,org.archive.modules.fetcher.CookieStoreTest,13,2,11,23,0,13,61,29,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\fetcher\CookieStoreTest.java,class,false,365
DECIDERULE,org.archive.modules.deciderules.DecideRuleSequence,17,2,11,86,0,17,28,34,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\DecideRuleSequence.java,class,false,182
DECIDERULE,org.archive.modules.deciderules.SeedAcceptDecideRule,2,2,3,1,0,2,1,4,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\SeedAcceptDecideRule.java,class,false,47
RECRAWLDATASCHEMABASE,org.archive.modules.recrawl.hbase.MultiColumnRecrawlDataSchema,2,2,9,0,0,2,29,30,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\MultiColumnRecrawlDataSchema.java,class,false,140
TEST,org.archive.modules.net.FirstNamedRobotsPolicyTest,2,2,4,1,0,2,10,2,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\net\FirstNamedRobotsPolicyTest.java,class,false,85
RESOURCE,org.archive.crawler.restlet.EngineResource,9,3,17,53,0,9,54,57,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\EngineResource.java,class,false,243
TEST,org.archive.crawler.processor.HashCrawlMapperTest,0,5,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\processor\HashCrawlMapperTest.java,class,false,34
ENTITY,org.archive.modules.CrawlMetadata,27,1,8,227,0,27,15,31,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\CrawlMetadata.java,class,false,223
TEST,org.archive.modules.fetcher.FetchHTTPTest,7,4,23,33,0,7,50,47,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\fetcher\FetchHTTPTest.java,class,false,371
REPORT,org.archive.crawler.reporting.CrawlSummaryReport,2,2,4,1,0,2,17,10,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\CrawlSummaryReport.java,class,false,115
RESOURCE,org.archive.crawler.restlet.ReportGenResource,2,4,9,0,0,2,12,8,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\restlet\ReportGenResource.java,class,false,68
ENTITY,org.archive.crawler.frontier.CostAssignmentPolicy,1,1,1,0,3,1,0,1,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\frontier\CostAssignmentPolicy.java,class,false,34
TEST,org.archive.io.ArchiveReaderFactoryTest,3,2,4,3,0,3,13,12,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\io\ArchiveReaderFactoryTest.java,class,false,94
DECIDERULE,org.archive.modules.deciderules.TransclusionDecideRule,6,3,2,15,0,6,10,21,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\TransclusionDecideRule.java,class,false,123
DECIDERULE,org.archive.modules.deciderules.ViaSurtPrefixedDecideRule,3,3,4,0,0,3,6,8,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\deciderules\ViaSurtPrefixedDecideRule.java,class,false,72
TEST,org.archive.util.BloomFilter64bitTest,1,3,3,0,0,1,0,1,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\util\BloomFilter64bitTest.java,class,false,35
TEST,org.archive.crawler.frontier.precedence.SuccessCountsQueuePrecedencePolicyTest,0,3,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\frontier\precedence\SuccessCountsQueuePrecedencePolicyTest.java,class,false,31
ABSTRACTLONGFPSET,org.archive.util.fingerprint.MemLongFPSet,10,2,4,5,0,10,6,15,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\fingerprint\MemLongFPSet.java,class,false,115
UNDEFINED,org.archive.util.PrefixFinder,6,1,3,15,0,6,18,28,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\PrefixFinder.java,class,false,144
PROCESSOR,org.archive.modules.extractor.HTTPContentDigest,7,2,4,19,0,7,32,17,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\extractor\HTTPContentDigest.java,class,false,168
UNDEFINED,org.archive.modules.recrawl.AbstractContentDigestHistory,3,1,1,3,1,3,1,5,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\recrawl\AbstractContentDigestHistory.java,class,false,59
SETBASEDURIUNIQFILTER,org.archive.crawler.util.MemUriUniqFilter,4,2,1,0,0,4,3,4,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\util\MemUriUniqFilter.java,class,false,52
[TEMPDIRPROVIDER],org.archive.modules.net.DefaultTempDirProvider,2,1,1,1,0,2,4,3,D:\Projetos\_Web\heritrix3\modules\src\main\java\org\archive\modules\net\DefaultTempDirProvider.java,class,false,53
[PROPERTYEDITOR],org.archive.io.ReadSourceEditor,12,1,2,64,0,12,3,12,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\io\ReadSourceEditor.java,class,false,98
DECIDERULE,org.archive.modules.deciderules.ExpressionDecideRule,4,3,4,4,0,4,16,8,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\deciderules\ExpressionDecideRule.java,class,false,76
TEST,org.archive.crawler.selftest.CharsetSelfTest,1,3,1,0,0,1,5,1,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\CharsetSelfTest.java,class,false,47
TEST,org.archive.util.MimetypeUtilsTest,3,2,1,3,0,3,3,3,D:\Projetos\_Web\heritrix3\commons\src\test\java\org\archive\util\MimetypeUtilsTest.java,class,false,63
TEST,org.archive.modules.extractor.HTTPContentDigestTest,0,4,1,0,0,0,0,0,D:\Projetos\_Web\heritrix3\modules\src\test\java\org\archive\modules\extractor\HTTPContentDigestTest.java,class,false,32
[LIFECYCLE],org.archive.modules.recrawl.hbase.HBaseTableBean,13,1,6,58,1,13,0,13,D:\Projetos\_Web\heritrix3\contrib\src\main\java\org\archive\modules\recrawl\hbase\HBaseTableBean.java,class,false,77
TEST,org.archive.crawler.selftest.BadURIsStopPageParsingSelfTest,2,3,1,1,0,2,7,6,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\selftest\BadURIsStopPageParsingSelfTest.java,class,false,69
ASYNCTASK,org.archive.crawler.reporting.AlertThreadGroup,8,2,2,18,0,8,19,18,D:\Projetos\_Web\heritrix3\engine\src\main\java\org\archive\crawler\reporting\AlertThreadGroup.java,class,false,124
TEST,org.archive.crawler.frontier.BdbMultipleWorkQueuesTest,1,2,3,0,0,1,13,3,D:\Projetos\_Web\heritrix3\engine\src\test\java\org\archive\crawler\frontier\BdbMultipleWorkQueuesTest.java,class,false,103
ENTITY,org.archive.util.ObjectIdentityMemCache,10,1,4,15,0,10,7,16,D:\Projetos\_Web\heritrix3\commons\src\main\java\org\archive\util\ObjectIdentityMemCache.java,class,false,95
