DesignRole,Classe,NOM,DIT,CBO,LCom,NOC,NOM,RFC,WMC,File,Type,IsArchitecturalRole,LOC
UNDEFINED,com.qcadoo.mes.orderSupplies.constants.CoverageProductFields,1,1,0,0,0,1,0,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-order-supplies\src\main\java\com\qcadoo\mes\orderSupplies\constants\CoverageProductFields.java,class,false,68
TEST,com.qcadoo.mes.advancedGenealogy.tree.AdvancedGenealogyTreeViewListenersTest,5,1,12,0,0,5,27,5,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy\src\test\java\com\qcadoo\mes\advancedGenealogy\tree\AdvancedGenealogyTreeViewListenersTest.java,class,false,213
SERVICE,com.qcadoo.mes.basic.listeners.PalletNumberHelperDetailsListeners,1,1,4,0,0,1,5,5,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic\src\main\java\com\qcadoo\mes\basic\listeners\PalletNumberHelperDetailsListeners.java,class,true,48
SERVICE,com.qcadoo.mes.basicProductionCounting.listeners.BasicProductionCountingListListeners,1,1,4,0,0,1,4,4,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic-production-counting\src\main\java\com\qcadoo\mes\basicProductionCounting\listeners\BasicProductionCountingListListeners.java,class,true,55
SERVICE,com.qcadoo.mes.supplyNegotiations.hooks.NegotiationProductDetailsHooks,1,1,5,0,0,1,2,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\hooks\NegotiationProductDetailsHooks.java,class,true,50
SERVICE,com.qcadoo.mes.states.criteriaModifier.CommonCriteriaModifiers,1,1,2,0,0,1,3,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-states\src\main\java\com\qcadoo\mes\states\criteriaModifier\CommonCriteriaModifiers.java,class,true,38
SERVICE,com.qcadoo.mes.supplyNegotiations.states.client.OfferViewClient,1,2,5,0,0,1,0,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\client\OfferViewClient.java,class,true,44
UNDEFINED,com.qcadoo.mes.masterOrders.constants.MasterOrderDefinitionFields,1,1,0,0,0,1,0,1,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-master-orders\src\main\java\com\qcadoo\mes\masterOrders\constants\MasterOrderDefinitionFields.java,class,false,39
VIEW,com.qcadoo.mes.supplyNegotiations.states.aop.listeners.OfferValidationAspect,2,2,11,1,0,2,1,2,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\aop\listeners\OfferValidationAspect.java,class,false,64
SERVICE,com.qcadoo.mes.basic.services.ExportToFileOnlyVisibleColumnsService,1,1,6,0,0,1,20,5,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-basic\src\main\java\com\qcadoo\mes\basic\services\ExportToFileOnlyVisibleColumnsService.java,class,true,69
UNDEFINED,com.qcadoo.mes.deliveries.listeners.DeliveredProductAddMultiListeners,20,1,31,174,0,20,80,91,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-deliveries\src\main\java\com\qcadoo\mes\deliveries\listeners\DeliveredProductAddMultiListeners.java,class,false,548
SERVICE,com.qcadoo.mes.productionCounting.hooks.TechnologyDetailsHooksPC,5,1,8,6,0,5,17,16,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-production-counting\src\main\java\com\qcadoo\mes\productionCounting\hooks\TechnologyDetailsHooksPC.java,class,true,109
UNDEFINED,com.qcadoo.mes.supplyNegotiations.states.constants.OfferStateChangePhase,2,1,0,0,0,2,0,2,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\states\constants\OfferStateChangePhase.java,class,false,42
[COLUMNFILLER],com.qcadoo.mes.advancedGenealogyForOrders.workPlansColumnExtension.AGFOcolumnFiller,3,1,4,3,0,3,10,21,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-advanced-genealogy-for-orders\src\main\java\com\qcadoo\mes\advancedGenealogyForOrders\workPlansColumnExtension\AGFOcolumnFiller.java,class,false,116
UNDEFINED,com.qcadoo.mes.supplyNegotiations.aop.OrderedProductHooksOverrideAspect,2,1,10,1,0,2,3,4,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-supply-negotiations\src\main\java\com\qcadoo\mes\supplyNegotiations\aop\OrderedProductHooksOverrideAspect.java,class,false,62
IMMUTABLEIDWRAPPER,com.qcadoo.mes.productionPerShift.domain.ProductionPerShiftId,2,2,1,1,0,2,2,2,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-production-per-shift\src\main\java\com\qcadoo\mes\productionPerShift\domain\ProductionPerShiftId.java,class,false,38
SERVICE,com.qcadoo.mes.productFlowThruDivision.warehouseIssue.states.constants.WarehouseIssueStateChangeDescriber,5,2,7,8,0,5,2,5,D:\Projetos\_Web\mes\mes-plugins\mes-plugins-product-flow-thru-division\src\main\java\com\qcadoo\mes\productFlowThruDivision\warehouseIssue\states\constants\WarehouseIssueStateChangeDescriber.java,class,true,71
